79	121
78	119
77	119
76	117
76	116
75	115
75	114
74	113
73	112
72	110
71	109
70	106
69	105
68	105
68	103
68	102
66	101
66	100
65	98
64	97
64	96
63	95
62	94
62	92
61	91
59	88
59	87
58	87
58	84
58	82
58	81
58	79
58	77
58	74
58	73
58	72
58	71
58	70
58	68
58	67
58	66
58	65
58	64
59	64
59	62
59	61
60	60
60	59
60	58
60	56
61	56
62	55
63	53
64	52
66	50
67	49
67	48
69	48
72	46
73	46
76	46
78	45
81	43
83	43
86	43
87	42
93	42
95	41
97	41
100	41
105	40
107	40
110	40
112	40
117	40
118	40
120	40
122	40
124	40
125	40
126	40
127	40
128	40
130	40
131	40
133	41
135	42
137	43
138	44
140	45
141	46
144	49
145	50
147	52
148	53
151	57
152	59
152	61
153	61
154	64
154	65
154	66
154	67
154	70
154	72
154	74
154	76
154	78
154	80
154	81
154	82
154	86
154	88
154	90
154	92
154	97
154	99
154	101
154	103
154	107
153	109
153	111
152	114
149	117
147	118
147	120
145	121
142	124
139	125
138	128
137	129
133	131
131	132
130	133
128	134
123	137
122	139
120	140
118	141
115	144
112	145
109	147
107	148
101	151
97	151
94	151
91	151
85	151
82	151
80	151
77	151
72	151
70	151
68	151
67	151
62	151
61	151
60	150
58	149
57	148
55	148
53	146
52	144
50	144
49	142
47	140
46	139
45	137
44	135
41	133
40	131
38	130
37	128
35	126
34	124
33	122
32	121
30	118
30	116
29	114
29	113
27	110
27	108
27	106
27	103
27	102
26	101
26	99
26	96
26	95
26	92
26	91
26	89
26	86
26	85
26	83
26	81
26	80
26	79
26	76
26	74
26	72
26	71
26	69
27	66
28	64
28	63
28	60
28	59
29	57
29	55
29	54
29	52
30	50
32	50
32	48
33	48
36	45
38	44
39	43
41	41
43	40
45	39
46	38
48	37
50	35
51	34
52	33
55	32
58	30
60	29
62	29
64	29
68	28
69	28
71	28
72	27
76	24
80	24
83	24
85	23
91	21
94	20
97	20
100	18
105	18
107	18
109	18
111	18
116	18
119	18
121	18
124	18
130	17
133	17
134	17
136	17
140	17
142	17
145	17
147	17
149	17
152	17
153	17
155	17
157	17
158	17
159	18
161	20
163	21
165	22
167	24
171	27
172	29
174	31
175	32
179	37
180	39
182	40
184	43
185	45
186	47
187	49
188	51
190	55
191	57
193	60
193	62
193	66
194	68
195	70
195	71
195	74
195	75
195	77
195	78
195	81
195	83
195	85
195	88
195	92
195	94
195	95
195	97
195	101
195	103
195	105
194	107
194	111
193	113
192	116
191	117
189	121
188	122
188	125
188	126
185	128
184	130
183	132
181	134
178	138
177	140
174	142
172	144
168	147
168	148
166	150
164	150
161	152
160	153
158	155
156	156
153	157
151	158
150	159
148	160
144	161
144	162
142	162
141	164
138	166
137	167
134	168
133	170
128	172
126	173
123	174
119	175
115	176
112	177
110	177
107	177
102	177
101	177
100	177
98	177
96	177
94	177
91	177
88	177
84	177
82	177
80	177
78	177
73	177
71	177
68	177
66	177
61	177
58	177
56	177
54	176
51	176
50	176
49	176
48	176
47	176
46	176
45	176
44	176
