true	9	4	9	4
true	10	4	10	4
true	10	5	10	5
true	11	5	11	5
true	11	6	11	6
true	12	6	12	6
true	13	7	13	7
true	14	8	14	8
true	16	9	16	9
true	18	10	18	10
true	19	11	19	11
true	21	12	21	12
true	23	14	23	14
true	26	18	26	18
true	28	19	28	19
true	30	21	30	21
true	32	23	32	23
true	35	26	35	26
true	37	27	37	27
true	39	29	39	29
true	41	30	41	30
true	44	34	44	34
true	46	35	46	35
true	47	37	47	37
true	50	39	50	39
true	54	44	54	44
true	58	46	58	46
true	60	49	60	49
true	62	50	62	50
true	65	54	65	54
true	67	56	67	56
true	68	57	68	57
true	70	59	70	59
true	72	62	72	62
true	74	63	74	63
true	75	65	75	65
true	77	66	77	66
true	79	68	79	68
true	80	69	80	69
true	81	70	81	70
true	83	71	83	71
true	85	73	85	73
true	86	75	86	75
true	87	76	87	76
true	89	78	89	78
true	92	81	92	81
true	93	83	93	83
true	95	84	95	84
true	97	86	97	86
true	101	90	101	90
true	102	92	102	92
true	103	95	103	95
true	105	97	105	97
true	109	100	109	100
true	110	102	110	102
true	113	104	113	104
true	115	105	115	105
true	117	107	117	107
true	118	108	118	108
true	120	111	120	111
true	122	112	122	112
true	126	117	126	117
true	127	118	127	118
true	-127	120	129	120
true	-124	122	132	122
true	-120	127	136	127
true	-118	-128	138	128
true	-117	-127	139	129
true	-111	-121	145	135
true	-107	-118	149	138
true	-106	-117	150	139
true	-105	-116	151	140
true	-102	-113	154	143
true	-101	-112	155	144
true	-97	-109	159	147
true	-96	-107	160	149
true	-95	-106	161	150
true	-93	-105	163	151
true	-91	-103	165	153
true	-90	-101	166	155
true	-88	-100	168	156
true	-88	-99	168	157
true	-85	-96	171	160
true	-84	-96	172	160
true	-83	-94	173	162
true	-81	-93	175	163
true	-80	-92	176	164
true	-79	-91	177	165
true	-78	-91	178	165
true	-76	-89	180	167
true	-75	-88	181	168
true	-74	-87	182	169
true	-73	-87	183	169
true	-73	-86	183	170
true	-71	-85	185	171
true	-71	-84	185	172
true	-71	-83	185	173
true	-70	-83	186	173
true	-69	-82	187	174
true	-69	-81	187	175
true	-68	-81	188	175
true	-67	-80	189	176
true	-66	-80	190	176
true	-65	-80	191	176
true	-65	-79	191	177
true	-64	-79	192	177
true	-64	-78	192	178
true	-63	-78	193	178
true	-63	-77	193	179
true	-62	-77	194	179
true	-62	-76	194	180
true	-62	-75	194	181
true	-61	-75	195	181
true	-61	-74	195	182
true	-61	-75	195	181
